param,value
S0_0_0_0,100000000
S0_0_1_0,0
S0_0_2_0,0
S0_0_3_0,0
S0_1_0_0,0
S0_1_1_0,100000000
S0_1_2_0,0
S0_1_3_0,0
S0_2_0_0,0
S0_2_1_0,0
S0_2_2_0,100000000
S0_2_3_0,0
S0_3_0_0,0
S0_3_1_0,0
S0_3_2_0,0
S0_3_3_0,100000000
R0_0,8.8202288912
R0_1,8.8202288912
R0_2,8.8202288912
R0_3,8.8202288912
Sample_0,0.0453619428
Sample_1,0.0453619428
Sample_2,0.0453619428
Sample_3,0.0453619428
Recover_0,0.2242163297
Recover_1,0.2242163297
Recover_2,0.2242163297
Recover_3,0.2242163297
Stop_time_0,3.992617203
Time_of_interest_0,74.8399526484
nSampled_tips_0,499
R2S_0,0.0
R2S_1,0.0
R2S_2,0.0
R2S_3,0.0
Total_S0_0,100000000
Total_S0_1,100000000
Total_S0_2,100000000
Total_S0_3,100000000
Infect_0,2.38e-08
Infect_1,2.38e-08
Infect_2,2.38e-08
Infect_3,2.38e-08
VisitDepart_0_0,0.249255295
VisitDepart_0_1,0.249255295
VisitDepart_0_2,0.249255295
VisitDepart_0_3,0.249255295
VisitDepart_1_0,0.249255295
VisitDepart_1_1,0.249255295
VisitDepart_1_2,0.249255295
VisitDepart_1_3,0.249255295
VisitDepart_2_0,0.249255295
VisitDepart_2_1,0.249255295
VisitDepart_2_2,0.249255295
VisitDepart_2_3,0.249255295
VisitDepart_3_0,0.249255295
VisitDepart_3_1,0.249255295
VisitDepart_3_2,0.249255295
VisitDepart_3_3,0.249255295
VisitReturn_0_0,0.0381856146
VisitReturn_0_1,0.0381856146
VisitReturn_0_2,0.0381856146
VisitReturn_0_3,0.0381856146
VisitReturn_1_0,0.0381856146
VisitReturn_1_1,0.0381856146
VisitReturn_1_2,0.0381856146
VisitReturn_1_3,0.0381856146
VisitReturn_2_0,0.0381856146
VisitReturn_2_1,0.0381856146
VisitReturn_2_2,0.0381856146
VisitReturn_2_3,0.0381856146
VisitReturn_3_0,0.0381856146
VisitReturn_3_1,0.0381856146
VisitReturn_3_2,0.0381856146
VisitReturn_3_3,0.0381856146
VisitStationaryFreqs_0_0,0.0485852048
VisitStationaryFreqs_0_1,0.3171382651
VisitStationaryFreqs_0_2,0.3171382651
VisitStationaryFreqs_0_3,0.3171382651
VisitStationaryFreqs_1_0,0.3171382651
VisitStationaryFreqs_1_1,0.0485852048
VisitStationaryFreqs_1_2,0.3171382651
VisitStationaryFreqs_1_3,0.3171382651
VisitStationaryFreqs_2_0,0.3171382651
VisitStationaryFreqs_2_1,0.3171382651
VisitStationaryFreqs_2_2,0.0485852048
VisitStationaryFreqs_2_3,0.3171382651
VisitStationaryFreqs_3_0,0.3171382651
VisitStationaryFreqs_3_1,0.3171382651
VisitStationaryFreqs_3_2,0.3171382651
VisitStationaryFreqs_3_3,0.0485852048
VisitApproxInfect_0_0,1.2e-09
VisitApproxInfect_0_1,7.5e-09
VisitApproxInfect_0_2,7.5e-09
VisitApproxInfect_0_3,7.5e-09
VisitApproxInfect_1_0,7.5e-09
VisitApproxInfect_1_1,1.2e-09
VisitApproxInfect_1_2,7.5e-09
VisitApproxInfect_1_3,7.5e-09
VisitApproxInfect_2_0,7.5e-09
VisitApproxInfect_2_1,7.5e-09
VisitApproxInfect_2_2,1.2e-09
VisitApproxInfect_2_3,7.5e-09
VisitApproxInfect_3_0,7.5e-09
VisitApproxInfect_3_1,7.5e-09
VisitApproxInfect_3_2,7.5e-09
VisitApproxInfect_3_3,1.2e-09
StartState_0,3
StartState_1,1
actual_sim_time_0,3.992617203
SampleCount_0,31.0
SampleCount_1,538.0
SampleCount_2,31.0
SampleCount_3,28.0
total_sampled_0,628.0
num_sampled_per_capita_0,3.1e-07
num_sampled_per_capita_1,5.38e-06
num_sampled_per_capita_2,3.1e-07
num_sampled_per_capita_3,2.8e-07
Prevalence_0,401.0
Prevalence_1,7343.0
Prevalence_2,371.0
Prevalence_3,420.0
per_capita_prevalence_at_t_0,4.01e-06
per_capita_prevalence_at_t_1,7.343e-05
per_capita_prevalence_at_t_2,3.71e-06
per_capita_prevalence_at_t_3,4.2e-06
final_Susceptible_0_0_0,99996964.0
final_Susceptible_0_1_0,0.0
final_Susceptible_0_2_0,0.0
final_Susceptible_0_3_0,0.0
final_Susceptible_1_0_0,0.0
final_Susceptible_1_1_0,99999122.0
final_Susceptible_1_2_0,0.0
final_Susceptible_1_3_0,0.0
final_Susceptible_2_0_0,0.0
final_Susceptible_2_1_0,0.0
final_Susceptible_2_2_0,99996909.0
final_Susceptible_2_3_0,0.0
final_Susceptible_3_0_0,0.0
final_Susceptible_3_1_0,0.0
final_Susceptible_3_2_0,0.0
final_Susceptible_3_3_0,99996942.0
final_Contagious_0_0_0,49.0
final_Contagious_0_1_0,2326.0
final_Contagious_0_2_0,91.0
final_Contagious_0_3_0,109.0
final_Contagious_1_0_0,145.0
final_Contagious_1_1_0,306.0
final_Contagious_1_2_0,136.0
final_Contagious_1_3_0,160.0
final_Contagious_2_0_0,109.0
final_Contagious_2_1_0,2354.0
final_Contagious_2_2_0,37.0
final_Contagious_2_3_0,113.0
final_Contagious_3_0_0,98.0
final_Contagious_3_1_0,2357.0
final_Contagious_3_2_0,107.0
final_Contagious_3_3_0,38.0
final_Recovered_0_0_0,461.0
final_Recovered_0_1_0,0.0
final_Recovered_0_2_0,0.0
final_Recovered_0_3_0,0.0
final_Recovered_1_0_0,0.0
final_Recovered_1_1_0,131.0
final_Recovered_1_2_0,0.0
final_Recovered_1_3_0,0.0
final_Recovered_2_0_0,0.0
final_Recovered_2_1_0,0.0
final_Recovered_2_2_0,478.0
final_Recovered_2_3_0,0.0
final_Recovered_3_0_0,0.0
final_Recovered_3_1_0,0.0
final_Recovered_3_2_0,0.0
final_Recovered_3_3_0,459.0
most_recent_tip_age_0,0.0
log_R0_0,2.1770478211
log_R0_1,2.1770478211
log_R0_2,2.1770478211
log_R0_3,2.1770478211
log_Sample_0,-3.0930817887
log_Sample_1,-3.0930817887
log_Sample_2,-3.0930817887
log_Sample_3,-3.0930817887
log_Recover_0,-1.4951439356
log_Recover_1,-1.4951439356
log_Recover_2,-1.4951439356
log_Recover_3,-1.4951439356
log_VisitDepart_0_0,-1.3892776266
log_VisitDepart_0_1,-1.3892776266
log_VisitDepart_0_2,-1.3892776266
log_VisitDepart_0_3,-1.3892776266
log_VisitDepart_1_0,-1.3892776266
log_VisitDepart_1_1,-1.3892776266
log_VisitDepart_1_2,-1.3892776266
log_VisitDepart_1_3,-1.3892776266
log_VisitDepart_2_0,-1.3892776266
log_VisitDepart_2_1,-1.3892776266
log_VisitDepart_2_2,-1.3892776266
log_VisitDepart_2_3,-1.3892776266
log_VisitDepart_3_0,-1.3892776266
log_VisitDepart_3_1,-1.3892776266
log_VisitDepart_3_2,-1.3892776266
log_VisitDepart_3_3,-1.3892776266
log_VisitReturn_0_0,-3.2652964156
log_VisitReturn_0_1,-3.2652964156
log_VisitReturn_0_2,-3.2652964156
log_VisitReturn_0_3,-3.2652964156
log_VisitReturn_1_0,-3.2652964156
log_VisitReturn_1_1,-3.2652964156
log_VisitReturn_1_2,-3.2652964156
log_VisitReturn_1_3,-3.2652964156
log_VisitReturn_2_0,-3.2652964156
log_VisitReturn_2_1,-3.2652964156
log_VisitReturn_2_2,-3.2652964156
log_VisitReturn_2_3,-3.2652964156
log_VisitReturn_3_0,-3.2652964156
log_VisitReturn_3_1,-3.2652964156
log_VisitReturn_3_2,-3.2652964156
log_VisitReturn_3_3,-3.2652964156
log_Infect_0,-17.5545294176
log_Infect_1,-17.5545294176
log_Infect_2,-17.5545294176
log_Infect_3,-17.5545294176
