param,value
S0_0_0_0,100000000
S0_0_1_0,0
S0_0_2_0,0
S0_1_0_0,0
S0_1_1_0,100000000
S0_1_2_0,0
S0_2_0_0,0
S0_2_1_0,0
S0_2_2_0,100000000
R0_0,9.3762141557
R0_1,9.3762141557
R0_2,9.3762141557
Sample_0,0.0675379114
Sample_1,0.0675379114
Sample_2,0.0675379114
Recover_0,0.2870486524
Recover_1,0.2870486524
Recover_2,0.2870486524
Stop_time_0,3.9965063097
Time_of_interest_0,23.6404684926
nSampled_tips_0,499
R2S_0,0.0
R2S_1,0.0
R2S_2,0.0
Total_S0_0,100000000
Total_S0_1,100000000
Total_S0_2,100000000
Infect_0,3.32e-08
Infect_1,3.32e-08
Infect_2,3.32e-08
VisitDepart_0_0,0.0376808144
VisitDepart_0_1,0.0376808144
VisitDepart_0_2,0.0376808144
VisitDepart_1_0,0.0376808144
VisitDepart_1_1,0.0376808144
VisitDepart_1_2,0.0376808144
VisitDepart_2_0,0.0376808144
VisitDepart_2_1,0.0376808144
VisitDepart_2_2,0.0376808144
VisitReturn_0_0,0.1110170936
VisitReturn_0_1,0.1110170936
VisitReturn_0_2,0.1110170936
VisitReturn_1_0,0.1110170936
VisitReturn_1_1,0.1110170936
VisitReturn_1_2,0.1110170936
VisitReturn_2_0,0.1110170936
VisitReturn_2_1,0.1110170936
VisitReturn_2_2,0.1110170936
VisitStationaryFreqs_0_0,0.5956532599
VisitStationaryFreqs_0_1,0.20217337
VisitStationaryFreqs_0_2,0.20217337
VisitStationaryFreqs_1_0,0.20217337
VisitStationaryFreqs_1_1,0.5956532599
VisitStationaryFreqs_1_2,0.20217337
VisitStationaryFreqs_2_0,0.20217337
VisitStationaryFreqs_2_1,0.20217337
VisitStationaryFreqs_2_2,0.5956532599
VisitApproxInfect_0_0,1.98e-08
VisitApproxInfect_0_1,6.7e-09
VisitApproxInfect_0_2,6.7e-09
VisitApproxInfect_1_0,6.7e-09
VisitApproxInfect_1_1,1.98e-08
VisitApproxInfect_1_2,6.7e-09
VisitApproxInfect_2_0,6.7e-09
VisitApproxInfect_2_1,6.7e-09
VisitApproxInfect_2_2,1.98e-08
StartState_0,1
StartState_1,1
actual_sim_time_0,3.9965063097
SampleCount_0,517.0
SampleCount_1,3263.0
SampleCount_2,386.0
total_sampled_0,4166.0
num_sampled_per_capita_0,5.17e-06
num_sampled_per_capita_1,3.263e-05
num_sampled_per_capita_2,3.86e-06
Prevalence_0,6885.0
Prevalence_1,43695.0
Prevalence_2,5853.0
per_capita_prevalence_at_t_0,6.885e-05
per_capita_prevalence_at_t_1,0.00043695
per_capita_prevalence_at_t_2,5.853e-05
final_Susceptible_0_0_0,99983675.0
final_Susceptible_0_1_0,0.0
final_Susceptible_0_2_0,0.0
final_Susceptible_1_0_0,0.0
final_Susceptible_1_1_0,99965762.0
final_Susceptible_1_2_0,0.0
final_Susceptible_2_0_0,0.0
final_Susceptible_2_1_0,0.0
final_Susceptible_2_2_0,99984179.0
final_Contagious_0_0_0,4107.0
final_Contagious_0_1_0,8692.0
final_Contagious_0_2_0,1072.0
final_Contagious_1_0_0,1567.0
final_Contagious_1_1_0,26112.0
final_Contagious_1_2_0,1324.0
final_Contagious_2_0_0,1211.0
final_Contagious_2_1_0,8891.0
final_Contagious_2_2_0,3457.0
final_Recovered_0_0_0,2454.0
final_Recovered_0_1_0,0.0
final_Recovered_0_2_0,0.0
final_Recovered_1_0_0,0.0
final_Recovered_1_1_0,5236.0
final_Recovered_1_2_0,0.0
final_Recovered_2_0_0,0.0
final_Recovered_2_1_0,0.0
final_Recovered_2_2_0,2262.0
most_recent_tip_age_0,0.0
log_R0_0,2.2381760734
log_R0_1,2.2381760734
log_R0_2,2.2381760734
log_Sample_0,-2.6950661886
log_Sample_1,-2.6950661886
log_Sample_2,-2.6950661886
log_Recover_0,-1.2481035571
log_Recover_1,-1.2481035571
log_Recover_2,-1.2481035571
log_VisitDepart_0_0,-3.2786042156
log_VisitDepart_0_1,-3.2786042156
log_VisitDepart_0_2,-3.2786042156
log_VisitDepart_1_0,-3.2786042156
log_VisitDepart_1_1,-3.2786042156
log_VisitDepart_1_2,-3.2786042156
log_VisitDepart_2_0,-3.2786042156
log_VisitDepart_2_1,-3.2786042156
log_VisitDepart_2_2,-3.2786042156
log_VisitReturn_0_0,-2.1980710933
log_VisitReturn_0_1,-2.1980710933
log_VisitReturn_0_2,-2.1980710933
log_VisitReturn_1_0,-2.1980710933
log_VisitReturn_1_1,-2.1980710933
log_VisitReturn_1_2,-2.1980710933
log_VisitReturn_2_0,-2.1980710933
log_VisitReturn_2_1,-2.1980710933
log_VisitReturn_2_2,-2.1980710933
log_Infect_0,-17.2193074478
log_Infect_1,-17.2193074478
log_Infect_2,-17.2193074478
