param,value
S0_0_0_0,100000000
S0_0_1_0,0
S0_0_2_0,0
S0_0_3_0,0
S0_0_4_0,0
S0_1_0_0,0
S0_1_1_0,100000000
S0_1_2_0,0
S0_1_3_0,0
S0_1_4_0,0
S0_2_0_0,0
S0_2_1_0,0
S0_2_2_0,100000000
S0_2_3_0,0
S0_2_4_0,0
S0_3_0_0,0
S0_3_1_0,0
S0_3_2_0,0
S0_3_3_0,100000000
S0_3_4_0,0
S0_4_0_0,0
S0_4_1_0,0
S0_4_2_0,0
S0_4_3_0,0
S0_4_4_0,100000000
R0_0,9.5514646453
R0_1,9.5514646453
R0_2,9.5514646453
R0_3,9.5514646453
R0_4,9.5514646453
Sample_0,0.0713603721
Sample_1,0.0713603721
Sample_2,0.0713603721
Sample_3,0.0713603721
Sample_4,0.0713603721
Recover_0,0.2601488621
Recover_1,0.2601488621
Recover_2,0.2601488621
Recover_3,0.2601488621
Recover_4,0.2601488621
Stop_time_0,3.9938907675
Time_of_interest_0,91.8464717077
nSampled_tips_0,499
R2S_0,0.0
R2S_1,0.0
R2S_2,0.0
R2S_3,0.0
R2S_4,0.0
Total_S0_0,100000000
Total_S0_1,100000000
Total_S0_2,100000000
Total_S0_3,100000000
Total_S0_4,100000000
Infect_0,3.17e-08
Infect_1,3.17e-08
Infect_2,3.17e-08
Infect_3,3.17e-08
Infect_4,3.17e-08
VisitDepart_0_0,0.2413013193
VisitDepart_0_1,0.2413013193
VisitDepart_0_2,0.2413013193
VisitDepart_0_3,0.2413013193
VisitDepart_0_4,0.2413013193
VisitDepart_1_0,0.2413013193
VisitDepart_1_1,0.2413013193
VisitDepart_1_2,0.2413013193
VisitDepart_1_3,0.2413013193
VisitDepart_1_4,0.2413013193
VisitDepart_2_0,0.2413013193
VisitDepart_2_1,0.2413013193
VisitDepart_2_2,0.2413013193
VisitDepart_2_3,0.2413013193
VisitDepart_2_4,0.2413013193
VisitDepart_3_0,0.2413013193
VisitDepart_3_1,0.2413013193
VisitDepart_3_2,0.2413013193
VisitDepart_3_3,0.2413013193
VisitDepart_3_4,0.2413013193
VisitDepart_4_0,0.2413013193
VisitDepart_4_1,0.2413013193
VisitDepart_4_2,0.2413013193
VisitDepart_4_3,0.2413013193
VisitDepart_4_4,0.2413013193
VisitReturn_0_0,0.0468469443
VisitReturn_0_1,0.0468469443
VisitReturn_0_2,0.0468469443
VisitReturn_0_3,0.0468469443
VisitReturn_0_4,0.0468469443
VisitReturn_1_0,0.0468469443
VisitReturn_1_1,0.0468469443
VisitReturn_1_2,0.0468469443
VisitReturn_1_3,0.0468469443
VisitReturn_1_4,0.0468469443
VisitReturn_2_0,0.0468469443
VisitReturn_2_1,0.0468469443
VisitReturn_2_2,0.0468469443
VisitReturn_2_3,0.0468469443
VisitReturn_2_4,0.0468469443
VisitReturn_3_0,0.0468469443
VisitReturn_3_1,0.0468469443
VisitReturn_3_2,0.0468469443
VisitReturn_3_3,0.0468469443
VisitReturn_3_4,0.0468469443
VisitReturn_4_0,0.0468469443
VisitReturn_4_1,0.0468469443
VisitReturn_4_2,0.0468469443
VisitReturn_4_3,0.0468469443
VisitReturn_4_4,0.0468469443
VisitStationaryFreqs_0_0,0.0462890583
VisitStationaryFreqs_0_1,0.2384277354
VisitStationaryFreqs_0_2,0.2384277354
VisitStationaryFreqs_0_3,0.2384277354
VisitStationaryFreqs_0_4,0.2384277354
VisitStationaryFreqs_1_0,0.2384277354
VisitStationaryFreqs_1_1,0.0462890583
VisitStationaryFreqs_1_2,0.2384277354
VisitStationaryFreqs_1_3,0.2384277354
VisitStationaryFreqs_1_4,0.2384277354
VisitStationaryFreqs_2_0,0.2384277354
VisitStationaryFreqs_2_1,0.2384277354
VisitStationaryFreqs_2_2,0.0462890583
VisitStationaryFreqs_2_3,0.2384277354
VisitStationaryFreqs_2_4,0.2384277354
VisitStationaryFreqs_3_0,0.2384277354
VisitStationaryFreqs_3_1,0.2384277354
VisitStationaryFreqs_3_2,0.2384277354
VisitStationaryFreqs_3_3,0.0462890583
VisitStationaryFreqs_3_4,0.2384277354
VisitStationaryFreqs_4_0,0.2384277354
VisitStationaryFreqs_4_1,0.2384277354
VisitStationaryFreqs_4_2,0.2384277354
VisitStationaryFreqs_4_3,0.2384277354
VisitStationaryFreqs_4_4,0.0462890583
VisitApproxInfect_0_0,1.5e-09
VisitApproxInfect_0_1,7.5e-09
VisitApproxInfect_0_2,7.5e-09
VisitApproxInfect_0_3,7.5e-09
VisitApproxInfect_0_4,7.5e-09
VisitApproxInfect_1_0,7.5e-09
VisitApproxInfect_1_1,1.5e-09
VisitApproxInfect_1_2,7.5e-09
VisitApproxInfect_1_3,7.5e-09
VisitApproxInfect_1_4,7.5e-09
VisitApproxInfect_2_0,7.5e-09
VisitApproxInfect_2_1,7.5e-09
VisitApproxInfect_2_2,1.5e-09
VisitApproxInfect_2_3,7.5e-09
VisitApproxInfect_2_4,7.5e-09
VisitApproxInfect_3_0,7.5e-09
VisitApproxInfect_3_1,7.5e-09
VisitApproxInfect_3_2,7.5e-09
VisitApproxInfect_3_3,1.5e-09
VisitApproxInfect_3_4,7.5e-09
VisitApproxInfect_4_0,7.5e-09
VisitApproxInfect_4_1,7.5e-09
VisitApproxInfect_4_2,7.5e-09
VisitApproxInfect_4_3,7.5e-09
VisitApproxInfect_4_4,1.5e-09
StartState_0,3
StartState_1,1
actual_sim_time_0,3.9938907675
SampleCount_0,211.0
SampleCount_1,3365.0
SampleCount_2,177.0
SampleCount_3,156.0
SampleCount_4,82.0
total_sampled_0,3991.0
num_sampled_per_capita_0,2.11e-06
num_sampled_per_capita_1,3.365e-05
num_sampled_per_capita_2,1.77e-06
num_sampled_per_capita_3,1.56e-06
num_sampled_per_capita_4,8.2e-07
Prevalence_0,2517.0
Prevalence_1,42896.0
Prevalence_2,2233.0
Prevalence_3,1865.0
Prevalence_4,1124.0
per_capita_prevalence_at_t_0,2.517e-05
per_capita_prevalence_at_t_1,0.00042896
per_capita_prevalence_at_t_2,2.233e-05
per_capita_prevalence_at_t_3,1.865e-05
per_capita_prevalence_at_t_4,1.124e-05
final_Susceptible_0_0_0,99986240.0
final_Susceptible_0_1_0,0.0
final_Susceptible_0_2_0,0.0
final_Susceptible_0_3_0,0.0
final_Susceptible_0_4_0,0.0
final_Susceptible_1_0_0,0.0
final_Susceptible_1_1_0,99995729.0
final_Susceptible_1_2_0,0.0
final_Susceptible_1_3_0,0.0
final_Susceptible_1_4_0,0.0
final_Susceptible_2_0_0,0.0
final_Susceptible_2_1_0,0.0
final_Susceptible_2_2_0,99986288.0
final_Susceptible_2_3_0,0.0
final_Susceptible_2_4_0,0.0
final_Susceptible_3_0_0,0.0
final_Susceptible_3_1_0,0.0
final_Susceptible_3_2_0,0.0
final_Susceptible_3_3_0,99986126.0
final_Susceptible_3_4_0,0.0
final_Susceptible_4_0_0,0.0
final_Susceptible_4_1_0,0.0
final_Susceptible_4_2_0,0.0
final_Susceptible_4_3_0,0.0
final_Susceptible_4_4_0,99986047.0
final_Contagious_0_0_0,214.0
final_Contagious_0_1_0,10404.0
final_Contagious_0_2_0,491.0
final_Contagious_0_3_0,391.0
final_Contagious_0_4_0,218.0
final_Contagious_1_0_0,659.0
final_Contagious_1_1_0,1571.0
final_Contagious_1_2_0,597.0
final_Contagious_1_3_0,504.0
final_Contagious_1_4_0,304.0
final_Contagious_2_0_0,533.0
final_Contagious_2_1_0,10329.0
final_Contagious_2_2_0,208.0
final_Contagious_2_3_0,390.0
final_Contagious_2_4_0,238.0
final_Contagious_3_0_0,543.0
final_Contagious_3_1_0,10348.0
final_Contagious_3_2_0,481.0
final_Contagious_3_3_0,192.0
final_Contagious_3_4_0,198.0
final_Contagious_4_0_0,568.0
final_Contagious_4_1_0,10244.0
final_Contagious_4_2_0,456.0
final_Contagious_4_3_0,388.0
final_Contagious_4_4_0,166.0
final_Recovered_0_0_0,2042.0
final_Recovered_0_1_0,0.0
final_Recovered_0_2_0,0.0
final_Recovered_0_3_0,0.0
final_Recovered_0_4_0,0.0
final_Recovered_1_0_0,0.0
final_Recovered_1_1_0,636.0
final_Recovered_1_2_0,0.0
final_Recovered_1_3_0,0.0
final_Recovered_1_4_0,0.0
final_Recovered_2_0_0,0.0
final_Recovered_2_1_0,0.0
final_Recovered_2_2_0,2014.0
final_Recovered_2_3_0,0.0
final_Recovered_2_4_0,0.0
final_Recovered_3_0_0,0.0
final_Recovered_3_1_0,0.0
final_Recovered_3_2_0,0.0
final_Recovered_3_3_0,2113.0
final_Recovered_3_4_0,0.0
final_Recovered_4_0_0,0.0
final_Recovered_4_1_0,0.0
final_Recovered_4_2_0,0.0
final_Recovered_4_3_0,0.0
final_Recovered_4_4_0,2131.0
most_recent_tip_age_0,0.0
log_R0_0,2.2566945087
log_R0_1,2.2566945087
log_R0_2,2.2566945087
log_R0_3,2.2566945087
log_R0_4,2.2566945087
log_Sample_0,-2.6400125763
log_Sample_1,-2.6400125763
log_Sample_2,-2.6400125763
log_Sample_3,-2.6400125763
log_Sample_4,-2.6400125763
log_Recover_0,-1.3465012652
log_Recover_1,-1.3465012652
log_Recover_2,-1.3465012652
log_Recover_3,-1.3465012652
log_Recover_4,-1.3465012652
log_VisitDepart_0_0,-1.4217088389
log_VisitDepart_0_1,-1.4217088389
log_VisitDepart_0_2,-1.4217088389
