param,value
S0_0_0_0,100000000
S0_0_1_0,0
S0_0_2_0,0
S0_0_3_0,0
S0_0_4_0,0
S0_1_0_0,0
S0_1_1_0,100000000
S0_1_2_0,0
S0_1_3_0,0
S0_1_4_0,0
S0_2_0_0,0
S0_2_1_0,0
S0_2_2_0,100000000
S0_2_3_0,0
S0_2_4_0,0
S0_3_0_0,0
S0_3_1_0,0
S0_3_2_0,0
S0_3_3_0,100000000
S0_3_4_0,0
S0_4_0_0,0
S0_4_1_0,0
S0_4_2_0,0
S0_4_3_0,0
S0_4_4_0,100000000
R0_0,6.5014658618
R0_1,6.5014658618
R0_2,6.5014658618
R0_3,6.5014658618
R0_4,6.5014658618
Sample_0,0.012692946
Sample_1,0.012692946
Sample_2,0.012692946
Sample_3,0.012692946
Sample_4,0.012692946
Recover_0,0.3029748672
Recover_1,0.3029748672
Recover_2,0.3029748672
Recover_3,0.3029748672
Recover_4,0.3029748672
Stop_time_0,3.9911180762
Time_of_interest_0,29.0632418953
nSampled_tips_0,499
R2S_0,0.0
R2S_1,0.0
R2S_2,0.0
R2S_3,0.0
R2S_4,0.0
Total_S0_0,100000000
Total_S0_1,100000000
Total_S0_2,100000000
Total_S0_3,100000000
Total_S0_4,100000000
Infect_0,2.05e-08
Infect_1,2.05e-08
Infect_2,2.05e-08
Infect_3,2.05e-08
Infect_4,2.05e-08
VisitDepart_0_0,0.0568644741
VisitDepart_0_1,0.0568644741
VisitDepart_0_2,0.0568644741
VisitDepart_0_3,0.0568644741
VisitDepart_0_4,0.0568644741
VisitDepart_1_0,0.0568644741
VisitDepart_1_1,0.0568644741
VisitDepart_1_2,0.0568644741
VisitDepart_1_3,0.0568644741
VisitDepart_1_4,0.0568644741
VisitDepart_2_0,0.0568644741
VisitDepart_2_1,0.0568644741
VisitDepart_2_2,0.0568644741
VisitDepart_2_3,0.0568644741
VisitDepart_2_4,0.0568644741
VisitDepart_3_0,0.0568644741
VisitDepart_3_1,0.0568644741
VisitDepart_3_2,0.0568644741
VisitDepart_3_3,0.0568644741
VisitDepart_3_4,0.0568644741
VisitDepart_4_0,0.0568644741
VisitDepart_4_1,0.0568644741
VisitDepart_4_2,0.0568644741
VisitDepart_4_3,0.0568644741
VisitDepart_4_4,0.0568644741
VisitReturn_0_0,0.0075904647
VisitReturn_0_1,0.0075904647
VisitReturn_0_2,0.0075904647
VisitReturn_0_3,0.0075904647
VisitReturn_0_4,0.0075904647
VisitReturn_1_0,0.0075904647
VisitReturn_1_1,0.0075904647
VisitReturn_1_2,0.0075904647
VisitReturn_1_3,0.0075904647
VisitReturn_1_4,0.0075904647
VisitReturn_2_0,0.0075904647
VisitReturn_2_1,0.0075904647
VisitReturn_2_2,0.0075904647
VisitReturn_2_3,0.0075904647
VisitReturn_2_4,0.0075904647
VisitReturn_3_0,0.0075904647
VisitReturn_3_1,0.0075904647
VisitReturn_3_2,0.0075904647
VisitReturn_3_3,0.0075904647
VisitReturn_3_4,0.0075904647
VisitReturn_4_0,0.0075904647
VisitReturn_4_1,0.0075904647
VisitReturn_4_2,0.0075904647
VisitReturn_4_3,0.0075904647
VisitReturn_4_4,0.0075904647
VisitStationaryFreqs_0_0,0.0322932042
VisitStationaryFreqs_0_1,0.2419266989
VisitStationaryFreqs_0_2,0.2419266989
VisitStationaryFreqs_0_3,0.2419266989
VisitStationaryFreqs_0_4,0.2419266989
VisitStationaryFreqs_1_0,0.2419266989
VisitStationaryFreqs_1_1,0.0322932042
VisitStationaryFreqs_1_2,0.2419266989
VisitStationaryFreqs_1_3,0.2419266989
VisitStationaryFreqs_1_4,0.2419266989
VisitStationaryFreqs_2_0,0.2419266989
VisitStationaryFreqs_2_1,0.2419266989
VisitStationaryFreqs_2_2,0.0322932042
VisitStationaryFreqs_2_3,0.2419266989
VisitStationaryFreqs_2_4,0.2419266989
VisitStationaryFreqs_3_0,0.2419266989
VisitStationaryFreqs_3_1,0.2419266989
VisitStationaryFreqs_3_2,0.2419266989
VisitStationaryFreqs_3_3,0.0322932042
VisitStationaryFreqs_3_4,0.2419266989
VisitStationaryFreqs_4_0,0.2419266989
VisitStationaryFreqs_4_1,0.2419266989
VisitStationaryFreqs_4_2,0.2419266989
VisitStationaryFreqs_4_3,0.2419266989
VisitStationaryFreqs_4_4,0.0322932042
VisitApproxInfect_0_0,7e-10
VisitApproxInfect_0_1,5e-09
VisitApproxInfect_0_2,5e-09
VisitApproxInfect_0_3,5e-09
VisitApproxInfect_0_4,5e-09
VisitApproxInfect_1_0,5e-09
VisitApproxInfect_1_1,7e-10
VisitApproxInfect_1_2,5e-09
VisitApproxInfect_1_3,5e-09
VisitApproxInfect_1_4,5e-09
VisitApproxInfect_2_0,5e-09
VisitApproxInfect_2_1,5e-09
VisitApproxInfect_2_2,7e-10
VisitApproxInfect_2_3,5e-09
VisitApproxInfect_2_4,5e-09
VisitApproxInfect_3_0,5e-09
VisitApproxInfect_3_1,5e-09
VisitApproxInfect_3_2,5e-09
VisitApproxInfect_3_3,7e-10
VisitApproxInfect_3_4,5e-09
VisitApproxInfect_4_0,5e-09
VisitApproxInfect_4_1,5e-09
VisitApproxInfect_4_2,5e-09
VisitApproxInfect_4_3,5e-09
VisitApproxInfect_4_4,7e-10
StartState_0,2
StartState_1,1
actual_sim_time_0,3.9911180762
SampleCount_0,1.0
SampleCount_1,122.0
SampleCount_2,4.0
SampleCount_3,0.0
SampleCount_4,0.0
total_sampled_0,127.0
num_sampled_per_capita_0,1e-08
num_sampled_per_capita_1,1.22e-06
num_sampled_per_capita_2,4e-08
num_sampled_per_capita_3,0.0
num_sampled_per_capita_4,0.0
Prevalence_0,36.0
Prevalence_1,2099.0
Prevalence_2,67.0
Prevalence_3,5.0
Prevalence_4,4.0
per_capita_prevalence_at_t_0,3.6e-07
per_capita_prevalence_at_t_1,2.099e-05
per_capita_prevalence_at_t_2,6.7e-07
per_capita_prevalence_at_t_3,5e-08
per_capita_prevalence_at_t_4,4e-08
final_Susceptible_0_0_0,99999339.0
final_Susceptible_0_1_0,0.0
final_Susceptible_0_2_0,0.0
final_Susceptible_0_3_0,0.0
final_Susceptible_0_4_0,0.0
final_Susceptible_1_0_0,0.0
final_Susceptible_1_1_0,99999898.0
final_Susceptible_1_2_0,0.0
final_Susceptible_1_3_0,0.0
final_Susceptible_1_4_0,0.0
final_Susceptible_2_0_0,0.0
final_Susceptible_2_1_0,0.0
final_Susceptible_2_2_0,99999380.0
final_Susceptible_2_3_0,0.0
final_Susceptible_2_4_0,0.0
final_Susceptible_3_0_0,0.0
final_Susceptible_3_1_0,0.0
final_Susceptible_3_2_0,0.0
final_Susceptible_3_3_0,99999292.0
final_Susceptible_3_4_0,0.0
final_Susceptible_4_0_0,0.0
final_Susceptible_4_1_0,0.0
final_Susceptible_4_2_0,0.0
final_Susceptible_4_3_0,0.0
final_Susceptible_4_4_0,99999354.0
final_Contagious_0_0_0,2.0
final_Contagious_0_1_0,511.0
final_Contagious_0_2_0,19.0
final_Contagious_0_3_0,0.0
final_Contagious_0_4_0,0.0
final_Contagious_1_0_0,8.0
final_Contagious_1_1_0,63.0
final_Contagious_1_2_0,12.0
final_Contagious_1_3_0,0.0
final_Contagious_1_4_0,1.0
final_Contagious_2_0_0,6.0
final_Contagious_2_1_0,491.0
final_Contagious_2_2_0,5.0
final_Contagious_2_3_0,1.0
final_Contagious_2_4_0,2.0
final_Contagious_3_0_0,10.0
final_Contagious_3_1_0,540.0
final_Contagious_3_2_0,18.0
final_Contagious_3_3_0,1.0
final_Contagious_3_4_0,0.0
final_Contagious_4_0_0,10.0
final_Contagious_4_1_0,494.0
final_Contagious_4_2_0,13.0
final_Contagious_4_3_0,3.0
final_Contagious_4_4_0,1.0
final_Recovered_0_0_0,129.0
final_Recovered_0_1_0,0.0
final_Recovered_0_2_0,0.0
final_Recovered_0_3_0,0.0
final_Recovered_0_4_0,0.0
final_Recovered_1_0_0,0.0
final_Recovered_1_1_0,18.0
final_Recovered_1_2_0,0.0
final_Recovered_1_3_0,0.0
final_Recovered_1_4_0,0.0
final_Recovered_2_0_0,0.0
final_Recovered_2_1_0,0.0
final_Recovered_2_2_0,116.0
final_Recovered_2_3_0,0.0
final_Recovered_2_4_0,0.0
final_Recovered_3_0_0,0.0
final_Recovered_3_1_0,0.0
final_Recovered_3_2_0,0.0
final_Recovered_3_3_0,139.0
final_Recovered_3_4_0,0.0
final_Recovered_4_0_0,0.0
final_Recovered_4_1_0,0.0
final_Recovered_4_2_0,0.0
final_Recovered_4_3_0,0.0
final_Recovered_4_4_0,125.0
most_recent_tip_age_0,0.0
log_R0_0,1.8720276687
log_R0_1,1.8720276687
log_R0_2,1.8720276687
log_R0_3,1.8720276687
log_R0_4,1.8720276687
log_Sample_0,-4.3667088702
log_Sample_1,-4.3667088702
log_Sample_2,-4.3667088702
log_Sample_3,-4.3667088702
log_Sample_4,-4.3667088702
log_Recover_0,-1.1941054235
log_Recover_1,-1.1941054235
log_Recover_2,-1.1941054235
log_Recover_3,-1.1941054235
log_Recover_4,-1.1941054235
log_VisitDepart_0_0,-2.8670844895
log_VisitDepart_0_1,-2.8670844895
log_VisitDepart_0_2,-2.8670844895
log_VisitDepart_0_3,-2.8670844895
log_VisitDepart_0_4,-2.8670844895
log_VisitDepart_1_0,-2.8670844895
log_VisitDepart_1_1,-2.8670844895
