param,value
S0_0_0_0,100000000
S0_0_1_0,0
S0_0_2_0,0
S0_0_3_0,0
S0_1_0_0,0
S0_1_1_0,100000000
S0_1_2_0,0
S0_1_3_0,0
S0_2_0_0,0
S0_2_1_0,0
S0_2_2_0,100000000
S0_2_3_0,0
S0_3_0_0,0
S0_3_1_0,0
S0_3_2_0,0
S0_3_3_0,100000000
R0_0,7.1944461537
R0_1,7.1944461537
R0_2,7.1944461537
R0_3,7.1944461537
Sample_0,0.0932763019
Sample_1,0.0932763019
Sample_2,0.0932763019
Sample_3,0.0932763019
Recover_0,0.2987864992
Recover_1,0.2987864992
Recover_2,0.2987864992
Recover_3,0.2987864992
Stop_time_0,3.9990738903
Time_of_interest_0,69.9944383963
nSampled_tips_0,499
R2S_0,0.0
R2S_1,0.0
R2S_2,0.0
R2S_3,0.0
Total_S0_0,100000000
Total_S0_1,100000000
Total_S0_2,100000000
Total_S0_3,100000000
Infect_0,2.82e-08
Infect_1,2.82e-08
Infect_2,2.82e-08
Infect_3,2.82e-08
VisitDepart_0_0,0.0591874491
VisitDepart_0_1,0.0591874491
VisitDepart_0_2,0.0591874491
VisitDepart_0_3,0.0591874491
VisitDepart_1_0,0.0591874491
VisitDepart_1_1,0.0591874491
VisitDepart_1_2,0.0591874491
VisitDepart_1_3,0.0591874491
VisitDepart_2_0,0.0591874491
VisitDepart_2_1,0.0591874491
VisitDepart_2_2,0.0591874491
VisitDepart_2_3,0.0591874491
VisitDepart_3_0,0.0591874491
VisitDepart_3_1,0.0591874491
VisitDepart_3_2,0.0591874491
VisitDepart_3_3,0.0591874491
VisitReturn_0_0,0.0162790335
VisitReturn_0_1,0.0162790335
VisitReturn_0_2,0.0162790335
VisitReturn_0_3,0.0162790335
VisitReturn_1_0,0.0162790335
VisitReturn_1_1,0.0162790335
VisitReturn_1_2,0.0162790335
VisitReturn_1_3,0.0162790335
VisitReturn_2_0,0.0162790335
VisitReturn_2_1,0.0162790335
VisitReturn_2_2,0.0162790335
VisitReturn_2_3,0.0162790335
VisitReturn_3_0,0.0162790335
VisitReturn_3_1,0.0162790335
VisitReturn_3_2,0.0162790335
VisitReturn_3_3,0.0162790335
VisitStationaryFreqs_0_0,0.0839812091
VisitStationaryFreqs_0_1,0.305339597
VisitStationaryFreqs_0_2,0.305339597
VisitStationaryFreqs_0_3,0.305339597
VisitStationaryFreqs_1_0,0.305339597
VisitStationaryFreqs_1_1,0.0839812091
VisitStationaryFreqs_1_2,0.305339597
VisitStationaryFreqs_1_3,0.305339597
VisitStationaryFreqs_2_0,0.305339597
VisitStationaryFreqs_2_1,0.305339597
VisitStationaryFreqs_2_2,0.0839812091
VisitStationaryFreqs_2_3,0.305339597
VisitStationaryFreqs_3_0,0.305339597
VisitStationaryFreqs_3_1,0.305339597
VisitStationaryFreqs_3_2,0.305339597
VisitStationaryFreqs_3_3,0.0839812091
VisitApproxInfect_0_0,2.4e-09
VisitApproxInfect_0_1,8.6e-09
VisitApproxInfect_0_2,8.6e-09
VisitApproxInfect_0_3,8.6e-09
VisitApproxInfect_1_0,8.6e-09
VisitApproxInfect_1_1,2.4e-09
VisitApproxInfect_1_2,8.6e-09
VisitApproxInfect_1_3,8.6e-09
VisitApproxInfect_2_0,8.6e-09
VisitApproxInfect_2_1,8.6e-09
VisitApproxInfect_2_2,2.4e-09
VisitApproxInfect_2_3,8.6e-09
VisitApproxInfect_3_0,8.6e-09
VisitApproxInfect_3_1,8.6e-09
VisitApproxInfect_3_2,8.6e-09
VisitApproxInfect_3_3,2.4e-09
StartState_0,3
StartState_1,2
actual_sim_time_0,3.9990738903
SampleCount_0,22.0
SampleCount_1,111.0
SampleCount_2,1374.0
SampleCount_3,27.0
total_sampled_0,1534.0
num_sampled_per_capita_0,2.2e-07
num_sampled_per_capita_1,1.11e-06
num_sampled_per_capita_2,1.374e-05
num_sampled_per_capita_3,2.7e-07
Prevalence_0,287.0
Prevalence_1,1268.0
Prevalence_2,14721.0
Prevalence_3,270.0
per_capita_prevalence_at_t_0,2.87e-06
per_capita_prevalence_at_t_1,1.268e-05
per_capita_prevalence_at_t_2,0.00014721
per_capita_prevalence_at_t_3,2.7e-06
final_Susceptible_0_0_0,99993920.0
final_Susceptible_0_1_0,0.0
final_Susceptible_0_2_0,0.0
final_Susceptible_0_3_0,0.0
final_Susceptible_1_0_0,0.0
final_Susceptible_1_1_0,99994054.0
final_Susceptible_1_2_0,0.0
final_Susceptible_1_3_0,0.0
final_Susceptible_2_0_0,0.0
final_Susceptible_2_1_0,0.0
final_Susceptible_2_2_0,99997873.0
final_Susceptible_2_3_0,0.0
final_Susceptible_3_0_0,0.0
final_Susceptible_3_1_0,0.0
final_Susceptible_3_2_0,0.0
final_Susceptible_3_3_0,99993881.0
final_Contagious_0_0_0,51.0
final_Contagious_0_1_0,372.0
final_Contagious_0_2_0,4523.0
final_Contagious_0_3_0,73.0
final_Contagious_1_0_0,61.0
final_Contagious_1_1_0,112.0
final_Contagious_1_2_0,4560.0
final_Contagious_1_3_0,64.0
final_Contagious_2_0_0,102.0
final_Contagious_2_1_0,403.0
final_Contagious_2_2_0,1173.0
final_Contagious_2_3_0,85.0
final_Contagious_3_0_0,73.0
final_Contagious_3_1_0,381.0
final_Contagious_3_2_0,4465.0
final_Contagious_3_3_0,48.0
final_Recovered_0_0_0,1061.0
final_Recovered_0_1_0,0.0
final_Recovered_0_2_0,0.0
final_Recovered_0_3_0,0.0
final_Recovered_1_0_0,0.0
final_Recovered_1_1_0,1149.0
final_Recovered_1_2_0,0.0
final_Recovered_1_3_0,0.0
final_Recovered_2_0_0,0.0
final_Recovered_2_1_0,0.0
final_Recovered_2_2_0,364.0
final_Recovered_2_3_0,0.0
final_Recovered_3_0_0,0.0
final_Recovered_3_1_0,0.0
final_Recovered_3_2_0,0.0
final_Recovered_3_3_0,1153.0
most_recent_tip_age_0,0.0
log_R0_0,1.9733093608
log_R0_1,1.9733093608
log_R0_2,1.9733093608
log_R0_3,1.9733093608
log_Sample_0,-2.3721892026
log_Sample_1,-2.3721892026
log_Sample_2,-2.3721892026
log_Sample_3,-2.3721892026
log_Recover_0,-1.2080260103
log_Recover_1,-1.2080260103
log_Recover_2,-1.2080260103
log_Recover_3,-1.2080260103
log_VisitDepart_0_0,-2.8270457681
log_VisitDepart_0_1,-2.8270457681
log_VisitDepart_0_2,-2.8270457681
log_VisitDepart_0_3,-2.8270457681
log_VisitDepart_1_0,-2.8270457681
log_VisitDepart_1_1,-2.8270457681
log_VisitDepart_1_2,-2.8270457681
log_VisitDepart_1_3,-2.8270457681
log_VisitDepart_2_0,-2.8270457681
log_VisitDepart_2_1,-2.8270457681
log_VisitDepart_2_2,-2.8270457681
log_VisitDepart_2_3,-2.8270457681
log_VisitDepart_3_0,-2.8270457681
log_VisitDepart_3_1,-2.8270457681
log_VisitDepart_3_2,-2.8270457681
log_VisitDepart_3_3,-2.8270457681
log_VisitReturn_0_0,-4.117877286
log_VisitReturn_0_1,-4.117877286
log_VisitReturn_0_2,-4.117877286
log_VisitReturn_0_3,-4.117877286
log_VisitReturn_1_0,-4.117877286
log_VisitReturn_1_1,-4.117877286
log_VisitReturn_1_2,-4.117877286
log_VisitReturn_1_3,-4.117877286
log_VisitReturn_2_0,-4.117877286
log_VisitReturn_2_1,-4.117877286
log_VisitReturn_2_2,-4.117877286
log_VisitReturn_2_3,-4.117877286
log_VisitReturn_3_0,-4.117877286
log_VisitReturn_3_1,-4.117877286
log_VisitReturn_3_2,-4.117877286
log_VisitReturn_3_3,-4.117877286
log_Infect_0,-17.3837046284
log_Infect_1,-17.3837046284
log_Infect_2,-17.3837046284
log_Infect_3,-17.3837046284
