param,value
S0_0_0_0,492717
S0_0_1_0,0
S0_0_2_0,0
S0_0_3_0,0
S0_0_4_0,0
S0_1_0_0,0
S0_1_1_0,492717
S0_1_2_0,0
S0_1_3_0,0
S0_1_4_0,0
S0_2_0_0,0
S0_2_1_0,0
S0_2_2_0,492717
S0_2_3_0,0
S0_2_4_0,0
S0_3_0_0,0
S0_3_1_0,0
S0_3_2_0,0
S0_3_3_0,492717
S0_3_4_0,0
S0_4_0_0,0
S0_4_1_0,0
S0_4_2_0,0
S0_4_3_0,0
S0_4_4_0,492717
R0_0,7.8537584647
R0_1,7.8537584647
R0_2,7.8537584647
R0_3,7.8537584647
R0_4,7.8537584647
Sample_0,0.069757561
Sample_1,0.069757561
Sample_2,0.069757561
Sample_3,0.069757561
Sample_4,0.069757561
Recover_0,0.1419050913
Recover_1,0.1419050913
Recover_2,0.1419050913
Recover_3,0.1419050913
Recover_4,0.1419050913
Stop_time_0,7.0151642622
Time_of_interest_0,9.0212267366
nSampled_tips_0,454
R2S_0,0.0
R2S_1,0.0
R2S_2,0.0
R2S_3,0.0
R2S_4,0.0
Total_S0_0,492717
Total_S0_1,492717
Total_S0_2,492717
Total_S0_3,492717
Total_S0_4,492717
Infect_0,3.3738e-06
Infect_1,3.3738e-06
Infect_2,3.3738e-06
Infect_3,3.3738e-06
Infect_4,3.3738e-06
VisitDepart_0_0,0.0014506789
VisitDepart_0_1,0.0014506789
VisitDepart_0_2,0.0014506789
VisitDepart_0_3,0.0014506789
VisitDepart_0_4,0.0014506789
VisitDepart_1_0,0.0014506789
VisitDepart_1_1,0.0014506789
VisitDepart_1_2,0.0014506789
VisitDepart_1_3,0.0014506789
VisitDepart_1_4,0.0014506789
VisitDepart_2_0,0.0014506789
VisitDepart_2_1,0.0014506789
VisitDepart_2_2,0.0014506789
VisitDepart_2_3,0.0014506789
VisitDepart_2_4,0.0014506789
VisitDepart_3_0,0.0014506789
VisitDepart_3_1,0.0014506789
VisitDepart_3_2,0.0014506789
VisitDepart_3_3,0.0014506789
VisitDepart_3_4,0.0014506789
VisitDepart_4_0,0.0014506789
VisitDepart_4_1,0.0014506789
VisitDepart_4_2,0.0014506789
VisitDepart_4_3,0.0014506789
VisitDepart_4_4,0.0014506789
VisitReturn_0_0,0.5838120261
VisitReturn_0_1,0.5838120261
VisitReturn_0_2,0.5838120261
VisitReturn_0_3,0.5838120261
